SMSes,Labels
I need to go simlim get some stuff. See got what then decide but likely to be after lunch,0.0
Oh okie lor... Cos if got nothin much den i wont go lor...,0.0
I want to speak with you urgently.Please call me.,0.0
"Hey lao po, thks for helping me todae! lemme noe if u want to hav dinner 2gether..think i wanna go shopping at plaza sing ltr.Saw some nice clothes juz now.Haha",0.0
Hahaha dont worry it's alright :-D,0.0
"Yeah he said ""essentially your last pe lesson""",0.0
Hahaha ooo where did you get the water guns! Haha yea buy themug!!!!!! Ooo haha I never really eat jelly beans before! Haha uhhkaijie is there! They are a little odd I guess. The guy in bright pinkis some fashion enthusiast!,0.0
Hi just to inform u I can be there for this wed meeting my tut justgot cancelled...,0.0
OOPS I missed by  <#>  mins!! Happy belated birthday!!!,0.0
 ETA 15 min.,0.0
I yest go only den Cant stay over. Erm train near east side?,0.0
always smile,0.0
Hve u atended phy workshop ,0.0
Ya d..i vil attend first session n then vil cum der,0.0
 Hbd! Let's party hard 2nite! ??,0.0
Haha np I only signed up for you lah! (:,0.0
Ok. Careful dar. Love u so very much,0.0
I am looking for someone who does face painting at kids parties. If you have a contact please DM me.,0.0
Are you almost here?,0.0
Yeah my appointment is in the morning.,0.0
"Hi Colin, turns out this wednesday daytime won't work well this week. Would you be free Wednesday evening to come up to The Warren after7pm to present your proposal?",0.0
"Wil cm at arnd  <DECIMAL>  - 8 i gues,wats up?",0.0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp",0.0
Wa liew go fb see urself lah so many want me type meh,0.0
Geeeee ... I love you so much I can barely stand it,0.0
Okay. Nvm then. I think maybe they're not interested. Haha.,0.0
" Hmu l8r, we'll chat",0.0
Ohh nice! Good for you:D so one is p2 then the other is?,0.0
Lol must be you eat so slow that you felt nothing was in your stomach. XD,0.0
Yeah. My dad was even thinking of going to your door,0.0
What time?,0.0
t think I am taking anything out of my core this sem. But got 2 required cross facs which are statistics and genes and society.,0.0
But i've a tut at  <#> am leh. I think we'll rehearse for the bestpresentation demo first. I don't know still got time to talk abt thereport not leh.,0.0
Why? Do you want to visit Tuc shop?,0.0
Now also r u like ur x,0.0
Nice u sure he will use it?,0.0
"jin, did you guys manage to present to the class?  I saw it was movedto nmrc.  I didn't pass this info on to you yesterday,  that was myfault. :-(",0.0
dude come to mess v ll be walkin da,0.0
"Lol! Yea, you go into the country itself and you will realize you are the weirdo there :) hehe..",0.0
White for dc...,0.0
"Yeah finally set off._. He was playing some game then keep on dowanbathe! Then tried to put the blame on me say I was sleeping, but didhe take the chance to go bathe when I was sleeping? Stupid pig. Ahhsave the money!!!! Haha really ah omg. I will bathe at least once aday no matter what! If I sweat then I will bathe more!",0.0
that's a beautiful business idea. I'd like to come on board,0.0
"Hi this is alvin, jian ming tuition teacher. This is to inform youtomorrow will be the 4th lesson. The previous 3 lessons are on  <#>aug, 5 and  <#>  sept.",0.0
"Please go ahead and start eating.  Rain heavy, traffic slow.",0.0
"Sorry light turned green, I meant another friend wanted  &lt",0.0
Are you going to wipro interview today?,0.0
Which one,0.0
Lol no. U can trust me.,0.0
 Txt me when u r free. We need to catch up.,0.0
Haha not tonight. Got a test to study tml. Just reached home though.,0.0
s nt angry w his bf since he came to pick her yest...,0.0
Or next time your fren can talk to my bro via icq lor,0.0
Hi.what you think about cricket match?,0.0
Lol! Maybe u didn even key in luh! So tmr lunch at ur place isit? ._.,0.0
Lol so later gather there then go home?,0.0
Wat is da plan for tmr? Wat r we doing?,0.0
"My dear,add oil ah... I will have meeting at 330... I think it will a brief one... I miss u very much!",0.0
Haha I just received this): haha waiting for  <#>  now! Hahaha jyjy!!Prom won't be so bad!,0.0
s everythings gonna take.. can we confirm tomorrow? :),0.0
Hai ana tomarrow am coming on morning.  &lt,0.0
m goin 4 lect now until 2 leh... Thk cant...,0.0
Met xin at driving centre jus now she passed! Hee,0.0
Hey do you know the status of our Sweden talk? Shiv is uncontactable..,0.0
(Btw I'm not coming),0.0
"Mom, what's for dinner tonight. I might go out with Alvin tonight.",0.0
How I go underage! We got ocs too,0.0
Biz law tut is my first class tmr. Okay can. I'll print one copybefore i leave home tmr.,0.0
If I can get <name> up lol,0.0
Next generation LKG poem..:-D Drinking Drinkng little BEER..%-) How i wonder what a BAR.. Quarter rates r up so HIGH.. Drink a peg with chicken Fry.. Gud eve:),0.0
Im going down for dinner later.,0.0
Then the quality ok sibo.lol sia the simi company logo oso wan kope.,0.0
Haha really! They not staying tonight! Idm (: (:,0.0
SEE THE CLASS IS DUMB:-(,0.0
Haha going to cont like tat till finish the products.haha.Pek cek sia very time consuming.eh keynote I Bo bao got.I think is have but I dunno where I put the file.lol.must find.,0.0
Later i guess. I needa do mcat study too.,0.0
Yuck.... I went there before oh no): and vivien and Joel kayak therebefore!!!! Haha alrights^^ look unglam can ah x.x fainted I wish myshorts can dry now!!,0.0
I cnt spk wid u prprly as im in jithins hws...,0.0
Hahaha icic! Ahh haha sorry for being so blur XD,0.0
Then let her rest lol. Think ytd too much aircon then she got cold.,0.0
Ok lor. Msg me b4 u call.,0.0
"oh no we r not meeting tmr. but i'll be in sch tmr, if i can be of any help.. anyway join us for dinner or movie if u have a couple of hours to take a break!",0.0
Lol why the f is there someone cossing as a Vocaloid at Comex,0.0
"Hmm it's protestant, but the page doesn't say anyth more!",0.0
Don't know wat entity one. I'll most probably try coding outside theproj first.,0.0
Np ~ I moved out le! Err I think I'll be in sch on Wednesday!,0.0
"Eh, I am at engin already. Where are you?",0.0
" On my way, brb. Will be there in 10 mins.",0.0
" I'm so tired today, need a break badly.",0.0
Sir Alto Japanese has crosses 20 for a good condition 2015 model,0.0
No not mess with me,0.0
"Haha,ok,nvr mind lor. Coz need 2 go sch today n my skirts look too dressy. Heh. Nvr mind,u wear what u want!",0.0
can i get a copy of your recent publication please ?,0.0
